Collection Name,Title#1,Subtitle#1,Name Display Form#1,Name Role Term Text#1,Name Display Form#2,Name Role Term Text#2,Type of Resource#1,Date Created#1,Date Created Encoding#1,Date Captured#1,Date Created#2,Date Created Encoding#2,Language Term#1,Language Term#2,Form#1,Form Authority#1,Form Type#1,Digital Origin#1,Abstract#1,Note#1,Subject Topic#1,Subject Authority#1,Subject Geographic#1,Subject Geographic Authority#1,Subject Temporal#1,Subject Temporal Authority#1,Subject Name#1,Subject Topic#2,Subject Authority#2,Subject Geographic#2,Subject Geographic Authority#2,Subject Temporal#2,Subject Temporal Authority#2,Subject Name#2,Subject Geographic Code#2,Subject Topic#3,Subject Authority#3,Subject Geographic#3,Subject Geographic Authority#3,Subject Temporal#3,Subject Temporal Authority#3,Subject Name#3,Related Item#1,Related Item Type#1,Related Item Identifier#1,Identifier#1,Physical Location#1,Physical Location Type#1,Access Condition,Scanning technician#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Don Campbell Papers,Miscellaneous letters related to Don Campbell or Nadia Boulanger,,,,,,text,,,,,,,,letters (correspondence),aat,material,reformatted digital,Scroll through this combined record to find your item of interest. Includes: Diana Gladden to Don Campbell; Elinor Warren thanks Campbell; Jacqueline Englert-Marchal thanks Don Campbell; Campbell writes Frère Daniel Saulnier of the Abbaye Saint Pierre de Solesmes; Lena Tomatis invites Campbell; Victor Rosenbaum thanks Campbell; Thérèse Casadesus Rawson thanks Campbell.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",1099139,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letters: Doda Conrad to Don Campbell and Don Campbell's reply,,"Conrad, Doda",author,"Campbell, Don G., 1946-",author,text,1/25/1985,iso8601,,3/1/1985,iso8601,English,,letters (correspondence),aat,material,reformatted digital,"In this letter, Doda Conrad expresses regret that Don Campbell did not consult him before writing his biography of Nadia Boulanger. He states that he could have provided additional details about Boulanger. In his reply Don Campbell tells Doda Conrad of the difficulties faced in obtaining information to place in Nadia Boulanger's biography. The problems largely stemmed from Léonie Rosenstiel having already obtained much of the information from the Fontainebleau Association. Campbell also discusses the favorable reception of his book The Musical Brain.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_001,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540457,,amrc_campbell_1_2_doc1.pdf
Don Campbell Papers,Letter: Bruce A. Brown to Don Campbell,,"Brown, Bruce A.",author,,,text,2/22/1986,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,Bruce A. Brown tells Don Campbell that he can purchase Nadia Boulanger commemorative stamps from the Philatelic Service of Monaco's Office des Emissions de Timbres-Poste in the Villa Miraflores at 2 Avenue St. Michel.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_002,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540469,,amrc_campbell_1_2_doc2_001.pdf
Don Campbell Papers,Letter: Don Campbell to Cecile Armagnac,,"Campbell, Don G., 1946-",author,,,text,11/3/1986,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Don Campbell tells Cecile Armagnac that he has placed his materials on Nadia Boulanger into storage at North Texas State University. He notes that the Fontainebleau Alumni Association office is in disarray because, for an undisclosed reason, his donation check was returned. Campbell requests a schedule of activities in France (at Fontainebleau?).",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_003,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540481,,amrc_campbell_1_2_doc3.pdf
Don Campbell Papers,"Letter: Don Campbell to Ms. Anne Garside, Director of Public Information, Peabody Conservatory of Music",,"Campbell, Don G., 1946-",author,,,text,12/19/1986,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,Don Campbell consents that his materials may be used (by Peabody Conservatory?) for publicity. He also provides information on his upcoming travel schedule.,,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_004,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540493,,amrc_campbell_1_2_doc3.pdf
Don Campbell Papers,Letters: Diana V. Gladden to Don Campbell and Don Campbell's reply.,,"V. Gladden, Diana",author,,,text,1987-01-05/1987-02-03,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Diana V. Gladden thanks Don Campbell for his $500 donation to the Fontainebleau alumni association. She also apologizes for inconveniences caused by the relocation of their NY office. In his reply, Don Campbell thanks her for the letter and mentions that the date of his letter was the day of the first major concert honoring Boulanger in Baltimore.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_005,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540505,,amrc_campbell_1_2.pdf
Don Campbell Papers,Letters: Anne Garside to Don Campbell and Campbell's reply,,"Garside, Anne",author,"Campbell, Don G., 1946-",author,text,1987-01-20/1987-01-29,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Anne Garside of the Peabody Conservatory notifies Don Campbell that she has enclosed two copies of the February Peabody News that contains a Boulanger write-up. Don Campbell thanks Garside for sending them, and he requests extra copies of that issue to send to the foundation in France.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_006,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540517,,amrc_campbell_1_2_doc23.pdf
Don Campbell Papers,Letter: Don Campbell to Cecile Armagnac,,"Campbell, Don G., 1946-",author,,,text,2/5/1987,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Campbell thanks Armagnac for a letter the previous month. He mentions that he has just returned from Asia, hopes to attend some events in Europe in September, and that he has been invited to return to Japan to do a series of lectures for an orchestra. He informs her that a grand concert in Boulanger's honor was given in Baltimore two days prior to his letter, and he sends condolensces to Mlle. Dieudonné for her having fallen and presumably injured herself.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_007,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540529,,amrc_campbell_1_2_doc5_001.pdf
Don Campbell Papers,Letter: Anne Garside to Don Campbell,,"Garside, Anne",author,,,text,3/18/1987,iso8601,,,,English,,letters (correspondence),aat,material,reformatted digital,"Garside notifies Campbell that she has enclosed a copy of the Peabody News, with ten more sent separately, and a similar package being sent to the Boulanger Foundation in Paris. She also mentions that she has enclosed a letter to Mme. Cecile Armagnac for his reference.",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,,,,,,,,,,,,,,,,,,,,Campbell01_02_008,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540541,,amrc_campbell_1_2_doc6_001.pdf
Don Campbell Papers,Letter: Anne Garside to Cecile Armagnac,,"Garside, Anne",author,,,text,3/18/1987,iso8601,,,,French,,letters (correspondence),aat,material,reformatted digital,"Garside thanks Armagnac for her letter of January 8. Garside also asks her to re-thank Annette Dieudonne for her allowing reproduction of photographs from Don Campbell's book. Garside then explains that she has included the copies of the Peabody News containing the Boulanger write-up (February, 1987).",,Musicology,lcsh,United States,lcsh,Twentieth century,lcsh,"Boulanger, Nadia",,,,,,,,,,,,,,,,,,,Campbell01_02_009,American Music Research Center,current,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Ward, Michael",540553,,amrc_campbell_1_2_doc7_001.pdf
